Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
16-10-2019,TCS,2037.3,2038.0,2056.0,,2055.0,2046.4,2032.41,3034082.0,616649000000000.0,160140.0,1792942.0,0.5909
17-10-2019,TCS,,2014.0,2038.0,1999.3,2029.0,2030.95,2018.47,3818774.0,770808000000000.0,189836.0,2333221.0,0.611
18-10-2019,TCS,2030.95,2037.5,2063.9,2025.0,2059.0,2057.35,2046.03,3087901.0,631794000000000.0,115810.0,,0.641
22-10-2019,TCS,2057.35,,2111.5,2040.05,2050.0,,2067.79,5552505.0,1148140000000000.0,236213.0,3583843.0,0.6454
23-10-2019,TCS,2051.4,2060.0,2083.85,2052.5,2082.0,2070.1,2068.82,2348134.0,485786000000000.0,204587.0,1352785.0,0.5761
24-10-2019,TCS,,2084.0,,2061.3,2079.75,,2077.28,2798671.0,581362000000000.0,156073.0,1754891.0,0.627
25-10-2019,TCS,2082.0,2094.0,2130.0,2075.05,2121.6,2124.95,2102.55,3954245.0,831400000000000.0,165203.0,2535407.0,0.6412
27-10-2019,TCS,2124.95,2129.0,2129.0,2108.8,2117.65,2115.7,2117.14,224421.0,47513000000000.0,13145.0,76692.0,0.3417
29-10-2019,TCS,2115.7,2121.5,2201.7,2121.5,2197.5,,2173.21,5064173.0,1100550000000000.0,261926.0,,0.7224
30-10-2019,TCS,2194.85,,2260.0,2176.85,,2252.8,2229.89,,1158460000000000.0,180430.0,3259740.0,0.6275
31-10-2019,TCS,2252.8,2250.0,2284.95,,2274.55,,2267.61,4879261.0,1106430000000000.0,170321.0,2815579.0,0.5771
01-11-2019,TCS,2269.65,2264.0,2275.0,2195.0,2207.0,2200.9,2218.97,,,189932.0,2399676.0,0.5751
04-11-2019,TCS,2200.9,2207.0,2229.2,2180.9,2194.1,2193.95,2197.42,2646411.0,581529000000000.0,111662.0,1206343.0,0.4558
05-11-2019,TCS,2193.95,2197.0,2211.0,2169.0,2198.0,2201.85,2187.98,2693475.0,589327000000000.0,136536.0,1572121.0,0.5837
06-11-2019,TCS,2201.85,2200.0,2210.8,2179.0,2190.8,2188.5,,,556766000000000.0,112401.0,1426496.0,0.5615
07-11-2019,TCS,2188.5,2204.5,,2175.2,2185.0,2185.35,2186.08,1915598.0,418766000000000.0,97328.0,,0.5653
08-11-2019,TCS,2185.35,2189.6,2189.6,2124.0,2130.0,2129.95,2149.77,,599520000000000.0,110953.0,1620822.0,0.5812
11-11-2019,TCS,,2135.0,2139.0,2091.0,2100.9,2100.95,2105.79,2983768.0,628319000000000.0,159080.0,1728479.0,0.5793
13-11-2019,TCS,2100.95,2118.0,2183.8,2118.0,2179.0,2178.6,2161.51,3823365.0,826423000000000.0,160217.0,1769830.0,0.4629
14-11-2019,TCS,2178.6,2187.5,2200.0,2146.7,,2196.8,2183.42,2995915.0,654134000000000.0,104976.0,1188996.0,0.3969
15-11-2019,TCS,2196.8,2196.0,2211.5,2168.75,2174.45,2174.45,2191.82,2724180.0,597092000000000.0,95061.0,1528537.0,0.5611
18-11-2019,TCS,2174.45,2178.4,2187.75,2148.75,2151.0,2152.6,2159.1,1611089.0,347851000000000.0,66947.0,935177.0,0.5805
19-11-2019,TCS,2152.6,2153.0,,,2110.0,2108.8,2116.98,2975313.0,629866000000000.0,119968.0,1817909.0,0.611
20-11-2019,TCS,2108.8,2121.95,2135.0,2094.5,,2108.55,,2894129.0,611419000000000.0,119231.0,1321728.0,0.4567
21-11-2019,TCS,2108.55,2112.0,2126.6,2107.4,,2118.1,2120.22,,435190000000000.0,90452.0,1219100.0,0.5939
22-11-2019,TCS,2118.1,2097.0,2107.0,2060.5,2067.1,2071.7,2079.37,3742049.0,778112000000000.0,,2162742.0,0.578
,TCS,2071.7,2074.55,2084.95,2052.2,2083.5,2081.5,2075.63,2737010.0,568102000000000.0,118827.0,1562308.0,0.5708
,TCS,2081.5,,2097.9,2035.05,2046.65,2046.65,2056.29,,,164453.0,4970094.0,0.7575
27-11-2019,TCS,2046.65,2052.0,2071.7,2046.55,2055.0,,2060.49,,599093000000000.0,108988.0,2020463.0,0.6949
28-11-2019,TCS,2054.3,2067.05,,2060.0,2075.9,2077.35,2081.33,2924429.0,608671000000000.0,142488.0,1651510.0,0.5647
29-11-2019,TCS,2077.35,2085.0,2085.0,2045.8,2051.65,2053.25,2055.87,2064271.0,424388000000000.0,105237.0,,0.5818
02-12-2019,TCS,2053.25,2060.0,2067.7,,2021.0,2021.05,,3809860.0,773580000000000.0,159643.0,2540551.0,0.6668
,TCS,2021.05,2027.7,2062.0,2010.0,2052.95,2051.0,2044.01,4664774.0,953485000000000.0,142334.0,2674853.0,0.5734
04-12-2019,TCS,2051.0,2053.0,2082.0,2045.5,,2078.5,2067.16,3334301.0,,108026.0,2056925.0,0.6169
05-12-2019,TCS,2078.5,2083.0,2126.8,2068.35,2120.2,2121.3,2107.54,3902721.0,822515000000000.0,168163.0,2093683.0,0.5365
06-12-2019,TCS,2121.3,2124.0,2128.0,2101.0,2123.65,2123.6,2116.56,,387216000000000.0,71365.0,815426.0,0.4457
09-12-2019,TCS,2123.6,2127.95,2127.95,2053.5,2060.0,2060.45,2079.93,2244747.0,466891000000000.0,100785.0,1047181.0,0.4665
10-12-2019,TCS,2060.45,2060.0,2060.85,2003.25,2016.25,2012.85,2020.99,4520045.0,913497000000000.0,174993.0,2272296.0,0.5027
11-12-2019,TCS,2012.85,2025.4,2048.0,2006.75,,2041.9,2032.84,4943024.0,1004840000000000.0,165464.0,3004311.0,0.6078
,TCS,2041.9,2051.1,2083.65,1984.0,2003.0,2020.9,2039.92,7137306.0,1455950000000000.0,146550.0,4452408.0,0.6238
13-12-2019,TCS,2020.9,2023.0,2077.4,2007.0,2070.0,2071.25,2050.09,5711133.0,1170830000000000.0,173478.0,2245573.0,0.3932
16-12-2019,TCS,2071.25,2096.0,2136.0,2080.3,2130.0,2126.75,,5574177.0,1179920000000000.0,172181.0,2852266.0,0.5117
17-12-2019,TCS,2126.75,2126.5,2169.0,2119.0,2168.7,,2154.7,6059673.0,1305680000000000.0,217425.0,3457795.0,0.5706
18-12-2019,TCS,2164.95,2174.0,2203.45,2153.0,2166.8,2167.75,2182.48,8251081.0,1800780000000000.0,198563.0,4520690.0,0.5479
19-12-2019,TCS,2167.75,2179.8,2236.5,2167.55,2231.7,2229.05,2202.61,6251505.0,1376960000000000.0,181580.0,2570929.0,0.4112
20-12-2019,TCS,2229.05,2220.0,2246.7,2208.25,2219.0,2222.9,2225.89,5548338.0,1235000000000000.0,158986.0,2675704.0,0.4823
23-12-2019,TCS,2222.9,2210.0,2241.95,2210.0,2236.0,2231.7,2229.75,2247329.0,501098000000000.0,113685.0,,0.5202
24-12-2019,TCS,2231.7,2239.0,2243.55,,2216.0,2215.6,2223.0,1805896.0,401450000000000.0,100655.0,892665.0,0.4943
26-12-2019,TCS,2215.6,2216.4,2229.0,,2202.0,2201.95,2207.75,,415137000000000.0,89812.0,832102.0,0.4425
27-12-2019,TCS,2201.95,2208.0,2226.4,2176.0,2209.9,,2192.11,2720261.0,596312000000000.0,93892.0,1285882.0,0.4727
,TCS,2198.5,,2225.0,2177.1,2183.35,2183.2,2194.63,2288830.0,502314000000000.0,84027.0,935920.0,0.4089
31-12-2019,TCS,2183.2,2189.0,2197.0,2157.45,2165.0,2161.7,2171.67,1909289.0,,,837101.0,0.4384
01-01-2020,TCS,2161.7,2168.0,2183.9,2154.0,,2167.6,2170.54,1354908.0,294088000000000.0,,,0.1214
02-01-2020,TCS,2167.6,2179.95,2179.95,2149.2,2157.0,2157.65,2158.63,2380752.0,513916000000000.0,99242.0,1204079.0,0.5058
03-01-2020,TCS,2157.65,2164.0,2223.0,2164.0,2201.0,2200.65,2199.26,4655761.0,1023920000000000.0,123516.0,1833823.0,0.3939
06-01-2020,TCS,2200.65,2205.0,2225.95,2187.9,2201.35,,2204.89,,666586000000000.0,135360.0,1000021.0,0.3308
07-01-2020,TCS,2200.45,2200.5,2214.65,2183.8,2205.0,2205.85,2203.53,2429317.0,535306000000000.0,95018.0,966753.0,
